REPORT_DAT,OFFENSE,METHOD,BLOCK,DISTRICT,WARD,ANC,BLOCK_GROUP,CENSUS_TRACT,XBLOCK,YBLOCK
10/9/2015 1:58,ROBBERY,OTHERS,I STREET NW AND 13TH STREET NW,1,2,2F,010100 1,10100,397430.4227,137052.89
10/9/2015 3:30,THEFT/OTHER,OTHERS,300 - 399 BLOCK OF HAWAII AVENUE NE,4,5,5A,009501 3,9501,399953,141548
10/8/2015 21:00,THEFT F/AUTO,OTHERS,5100 - 5199 BLOCK OF EASTERN AVENUE NE,4,5,5A,009508 3,9508,400987,142996
10/8/2015 18:30,THEFT F/AUTO,OTHERS,2400 - 2537 BLOCK OF 15TH STREET NW,3,1,1B,003700 3,3700,396942,139389
10/8/2015 12:30,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF WALLACH PLACE NW,3,1,1B,004400 2,4400,397329,138713
10/8/2015 8:45,THEFT/OTHER,OTHERS,1100 - 1199 BLOCK OF 15TH STREET NW,2,2,2B,010100 2,10100,397001,137426
10/8/2015 20:00,THEFT F/AUTO,OTHERS,1800 1899  BLOCK OF ADAMS MILL ROAD NW,3,1,1C,004001 1,4001,396284,139460
10/9/2015 11:26,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,5,5,5C,009102 2,9102,400594,139371
10/21/2015 15:00,THEFT/OTHER,OTHERS,11TH STREET NW AND G STREET NW,1,2,2C,005800 1,5800,397654.8916,136718.72
10/21/2015 23:36,ASSAULT W/DANGEROUS WEAPON,GUN,1110 - 1199 BLOCK OF HOLBROOK TERRACE NE,5,5,5D,008804 1,8804,401115,137767
10/21/2015 20:00,MOTOR VEHICLE THEFT,OTHERS,3390 - 3399 BLOCK OF BLAINE STREET NE,6,7,7D,009604 1,9604,403709,135999
11/10/2015 22:18,THEFT/OTHER,OTHERS,5000 - 5099 BLOCK OF B STREET SE,6,7,7E,009904 2,9904,406139,135409
11/10/2015 17:50,BURGLARY,OTHERS,4700 - 4799 BLOCK OF CENTRAL AVENUE NE,6,7,7C,007804 3,7804,405692,135833
11/10/2015 22:59,ASSAULT W/DANGEROUS WEAPON,KNIFE,2608 - 2699 BLOCK OF SHERIDAN ROAD SE,7,8,8C,007406 2,7406,400573,132129
11/10/2015 22:30,ROBBERY,GUN,I STREET NE AND 9TH STREET NE,1,6,6A,008410 1,8410,400541.72,137052.32
11/10/2015 22:30,ROBBERY,GUN,SOUTHERN AVENUE SE AND 24TH STREET SE,7,8,8B,,,402583.06,130849.28
11/11/2015 1:45,ROBBERY,GUN,1200 - 1299 BLOCK OF V STREET NW,3,1,1B,004400 1,4400,397497.87,138916.24
11/11/2015 5:41,THEFT/OTHER,OTHERS,1700 - 1899 BLOCK OF 41ST PLACE SE,6,7,7E,009902 2,9902,404793,133208
11/11/2015 9:10,THEFT/OTHER,OTHERS,1000 - 1099 BLOCK OF G STREET NW,1,2,2C,005800 1,5800,397699,136718
11/11/2015 11:35,ROBBERY,OTHERS,100 - 299 BLOCK OF FRANKLIN STREET NE,5,5,5E,009203 1,9203,399640,139764
11/11/2015 12:40,BURGLARY,OTHERS,2200 - 2399 BLOCK OF PAYNE TERRACE SE,7,8,8A,007503 2,7503,400957,132755
11/11/2015 14:02,THEFT/OTHER,OTHERS,2240 - 2399 BLOCK OF SOUTH DAKOTA AVENUE NE,5,5,5C,011100 1,11100,403550,139245
11/10/2015 21:00,THEFT/OTHER,OTHERS,1100 - 1121 BLOCK OF 7TH STREET NE,1,6,6C,010600 1,10600,400332,137356
11/11/2015 13:30,THEFT F/AUTO,OTHERS,ASPEN STREET NW AND WILLOW STREET NW,4,4,4B,001702 2,1702,398660.44,144933.8
11/11/2015 15:40,THEFT F/AUTO,OTHERS,1900 - 1917 BLOCK OF 13TH STREET NW,3,1,1B,004400 2,4400,397430,138674
11/11/2015 15:42,THEFT/OTHER,OTHERS,2400 BLOCK OF MARKET STREET NE,5,5,5C,009000 1,9000,404105,139186
11/11/2015 17:30,THEFT/OTHER,OTHERS,4400 - 4499 BLOCK OF G STREET SE,6,7,7E,007707 2,7707,405400,134708
11/10/2015 21:00,MOTOR VEHICLE THEFT,OTHERS,800 - 900 BLOCK OF BRENTWOOD ROAD NE,5,5,5C,009102 2,9102,400480,138730
11/11/2015 18:19,ROBBERY,OTHERS,1300 - 1399 BLOCK OF CHILDRESS STREET NE,5,5,5D,008804 1,8804,401482,137579
11/11/2015 19:45,THEFT/OTHER,OTHERS,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,6,7,7F,007803 1,7803,404541,136535
10/18/2015 0:00,BURGLARY,OTHERS,3100 - 3111 BLOCK OF 28TH STREET SE,7,8,8B,007502 2,7502,402781,131636
10/18/2015 14:35,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF BLADENSBURG ROAD NE,5,5,5D,008802 2,8802,401560,137150
10/18/2015 14:02,BURGLARY,OTHERS,1400 - 1499 BLOCK OF HAMLIN STREET NE,5,5,5B,009301 3,9301,401300,140000
10/18/2015 9:25,SEX ABUSE,OTHERS,1900 BLOCK OF D STREET SE,1,7,7F,006804 1,6804,402061,135138
10/18/2015 14:57,ROBBERY,GUN,2632 2663  BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8C,007401 2,7401,400366,132181
10/17/2015 22:23,THEFT/OTHER,OTHERS,5200  - 5299 BLOCK OF GEORGIA AVENUE NW,4,4,4C,002002 3,2002,397603,142843
11/1/2015 0:05,THEFT/OTHER,OTHERS,2000 - 2099 BLOCK OF 14TH STREET NW,3,1,1B,004300 1,4300,397229,138854
10/31/2015 22:45,ASSAULT W/DANGEROUS WEAPON,GUN,600 - 699 BLOCK OF F STREET NW,1,2,2C,005800 2,5800,398185,136610
11/1/2015 2:23,ASSAULT W/DANGEROUS WEAPON,OTHERS,500 - 599 BLOCK OF 53RD STREET SE,6,7,7E,009905 3,9905,406350.2727,134871.9795
11/1/2015 0:30,THEFT F/AUTO,OTHERS,1200 - 1221 BLOCK OF 17TH STREET NW,2,2,2B,010700 2,10700,396660,137583
11/1/2015 3:59,THEFT F/AUTO,OTHERS,2322 - 2499 BLOCK OF ONTARIO ROAD NW,3,1,1C,003800 1,3800,396518.39,139335.68
11/1/2015 5:30,ROBBERY,GUN,1100 - 1299 BLOCK OF KENILWORTH AVENUE NE,6,7,7D,009601 1,9601,405146,137429
10/31/2015 20:00,THEFT F/AUTO,OTHERS,4100 - 4199 BLOCK OF 49TH STREET NW,2,3,3D,000901 2,901,391611,141648
11/1/2015 0:00,THEFT F/AUTO,OTHERS,1400  - 1599 BLOCK OF ASPEN STREET NW,4,4,4A,001803 1,1803,396976,144927
10/30/2015 16:30,THEFT F/AUTO,OTHERS,3100 - 3198 BLOCK OF BRANDYWINE STREET NW,2,3,3F,001301 1,1301,394489,142421
11/1/2015 12:45,THEFT F/AUTO,OTHERS,4500 - 4529 BLOCK OF CONNECTICUT AVENUE NW,2,3,3F,001200 2,1200,394283,142275
11/1/2015 12:50,ASSAULT W/DANGEROUS WEAPON,GUN,1  - 99 BLOCK OF FARRAGUT PLACE NW,4,4,4D,002202 1,2202,399150,142640
11/1/2015 13:50,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF V STREET NW,3,1,1B,004300 1,4300,397117,138916
