REPORT_DAT,OFFENSE,METHOD,BLOCK,DISTRICT,WARD,ANC,BLOCK_GROUP,CENSUS_TRACT,XBLOCK,YBLOCK
10/17/2015 17:00,THEFT F/AUTO,OTHERS,1200  - 1299 BLOCK OF TUCKERMAN STREET NW,4,4,4A,001804 2,1804,397509.61,144399.22
10/17/2015 18:23,THEFT F/AUTO,OTHERS,6500  - 6599 BLOCK OF 6TH STREET NW,4,4,4B,001901 4,1901,398165,144596
10/17/2015 17:15,THEFT F/AUTO,OTHERS,1000 - 1099 BLOCK OF 13TH STREET SE,1,6,6B,007100 1,7100,401014,134462
10/17/2015 17:53,ROBBERY,OTHERS,1400 - 1407 BLOCK OF HOWARD ROAD SE,7,8,8A,007407 2,7407,400879.4536,132468.1587
10/17/2015 17:45,THEFT/OTHER,OTHERS,1000 - 1299 BLOCK OF SOUTH CAPITOL STREET,1,6,6D,007200 2,7200,399210.55,134299.54
10/17/2015 18:48,THEFT/OTHER,OTHERS,700 - 799 BLOCK OF FLORIDA AVENUE NE,5,6,6C,010600 1,10600,400387,137463
10/17/2015 16:45,MOTOR VEHICLE THEFT,OTHERS,600 - 699 BLOCK OF I STREET SE,1,6,6B,007000 1,7000,400234,134688
10/17/2015 20:22,THEFT F/AUTO,OTHERS,13TH STREET NW AND IRVING STREET NW,3,1,1A,003000 2,3000,397424.06,140084.43
10/17/2015 19:47,ROBBERY,GUN,14TH STREET NE AND DOWNING PLACE NE,5,5,5C,009102 3,9102,401398.55,139226.58
10/17/2015 19:39,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF P STREET NW,2,2,2F,005201 3,5201,397115,137977
11/14/2015 3:00,THEFT/OTHER,OTHERS,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,6,7,7B,007604 2,7604,403516,133455
11/14/2015 1:15,THEFT F/AUTO,OTHERS,2100 - 2199 BLOCK OF 24TH PLACE NE,5,5,5C,011100 1,11100,402466,139176
11/13/2015 22:30,THEFT/OTHER,OTHERS,2300 - 2399 BLOCK OF RAYNOLDS PLACE SE,7,8,8B,007408 1,7408,402229,132014
11/14/2015 2:14,THEFT/OTHER,OTHERS,2600 - 3899 BLOCK OF TUNLAW ROAD NW,2,3,3B,000702 3,702,393364,139711
11/14/2015 3:20,ROBBERY,OTHERS,U STREET NW AND 14TH STREET NW,3,1,1B,004400 2,4400,397229.13,138792.68
11/14/2015 3:07,ROBBERY,OTHERS,2500 - 2599 BLOCK OF SHERIDAN ROAD SE,7,8,8C,007407 2,7407,400557,132492
11/14/2015 4:31,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF 7TH STREET NW,3,6,6E,004902 1,4902,398099,137783
11/14/2015 4:00,THEFT/OTHER,OTHERS,1100 - 1199 BLOCK OF NEW HAMPSHIRE AVENUE NW,2,2,2A,010700 1,10700,395818,137411
11/13/2015 23:30,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF KENYON STREET NW,3,1,1A,003000 1,3000,397281,140197
11/14/2015 8:02,THEFT F/AUTO,OTHERS,3537 - 3599 BLOCK OF 6TH STREET NW,4,1,1A,003200 2,3200,398083,140715
11/13/2015 18:30,THEFT F/AUTO,OTHERS,13TH STREET NW AND IRVING STREET NW,3,1,1A,003000 2,3000,397424.06,140084.43
11/14/2015 4:41,THEFT F/AUTO,OTHERS,200  - 299 BLOCK OF ONEIDA STREET NE,4,4,4B,009505 1,9505,399653,143788
11/14/2015 9:05,THEFT/OTHER,OTHERS,2000 - 2099 BLOCK OF L STREET NW,2,2,2A,010700 1,10700,396029,137321
11/14/2015 9:38,MOTOR VEHICLE THEFT,OTHERS,700 - 799 BLOCK OF 7TH STREET SW,1,6,6D,010200 2,10200,398099,134771
11/7/2015 13:00,THEFT/OTHER,OTHERS,1400 - 1699 BLOCK OF TAYLOR STREET NE,5,5,5B,009503 2,9503,401424,141425
11/13/2015 19:00,THEFT F/AUTO,OTHERS,4300 - 4399 BLOCK OF 19TH STREET NE,5,5,5B,009400 1,9400,401880,141604
11/13/2015 11:45,THEFT/OTHER,OTHERS,3814 - 3989 BLOCK OF CHESAPEAKE STREET NW,2,3,3E,001100 4,1100,393348,142539
10/27/2015 12:22,THEFT/OTHER,OTHERS,400 - 499 BLOCK OF 14TH STREET SE,1,6,6B,006900 2,6900,401257,135070
10/27/2015 18:15,BURGLARY,OTHERS,108 - 149 BLOCK OF IRVINGTON STREET SW,7,8,8D,010900 1,10900,399216,128099
10/30/2015 17:33,THEFT/OTHER,OTHERS,1600 - 1699 BLOCK OF 16TH STREET SE,6,8,8A,007601 5,7601,401542,133586
10/30/2015 21:55,ROBBERY,OTHERS,7400  - 7599 BLOCK OF GEORGIA AVENUE NW,4,4,4A,001600 2,1600,397704,145832
10/30/2015 21:53,ASSAULT W/DANGEROUS WEAPON,KNIFE,700  - 799 BLOCK OF JEFFERSON STREET NW,4,4,4D,002101 3,2101,397995,143042
10/30/2015 11:45,THEFT F/AUTO,OTHERS,700 - 799 BLOCK OF Q STREET NW,3,6,6E,004901 2,4901,398054,138140
11/5/2015 10:00,THEFT/OTHER,OTHERS,1224 - 1299 BLOCK OF WISCONSIN AVENUE NW,2,2,2E,000202 3,202,394548,137621
11/5/2015 11:22,THEFT/OTHER,OTHERS,1 - 99 BLOCK OF H STREET NW,1,6,6E,004702 1,4702,399078,136928
11/5/2015 11:25,THEFT/OTHER,OTHERS,1 - 99 BLOCK OF H STREET NW,1,6,6E,004702 1,4702,399078,136928
11/4/2015 16:30,THEFT/OTHER,OTHERS,500 - 699 BLOCK OF L STREET SE,1,6,6D,007200 2,7200,400186,134410
11/5/2015 12:45,THEFT/OTHER,OTHERS,400 - 499 BLOCK OF M STREET SE,1,6,6D,007200 2,7200,399995,134294
11/5/2015 11:00,BURGLARY,OTHERS,2100 - 2199 BLOCK OF FLAGLER PLACE NW,5,5,5E,003301 3,3301,398825,138974
11/5/2015 11:00,THEFT/OTHER,OTHERS,946 - 1299 BLOCK OF DIVISION AVENUE NE,6,7,7C,007807 2,7807,406607,137290
11/3/2015 14:30,THEFT/OTHER,OTHERS,3400 - 3699 BLOCK OF 4TH STREET SE,7,8,8C,009803 1,9803,399950,130181
11/5/2015 12:30,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF KINGMAN PLACE NW,3,2,2F,005001 2,5001,397320,138058
11/5/2015 14:15,THEFT F/AUTO,OTHERS,200 - 399 BLOCK OF M STREET SW,1,6,6D,011000 4,11000,398576,134292
11/5/2015 14:05,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF HALF STREET SW,1,6,6D,006400 1,6400,399076,133996
11/5/2015 15:09,THEFT/OTHER,OTHERS,3506 - 3540 BLOCK OF 14TH STREET NW,4,1,1A,002801 2,2801,397162,140804
11/5/2015 15:05,THEFT/OTHER,OTHERS,3100 - 3299 BLOCK OF 14TH STREET NW,3,1,1A,003000 1,3000,397162,140182
11/5/2015 11:30,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF MICHIGAN AVENUE NE,4,5,5E,009201 1,9201,400251,140544
11/5/2015 15:40,THEFT/OTHER,OTHERS,9TH STREET NW AND RITTENHOUSE STREET NW,4,4,4B,001901 3,1901,397749.5,144115.9
11/4/2015 22:00,THEFT/OTHER,OTHERS,11TH STREET NW AND H STREET NW,,2,2C,005800 1,5800,397654.8616,136885.2711
11/5/2015 15:15,THEFT/OTHER,OTHERS,2400 - 2499 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8A,007401 1,7401,400591,132715
11/5/2015 16:20,ASSAULT W/DANGEROUS WEAPON,KNIFE,1 - 38 BLOCK OF FLORIDA AVENUE NE,5,5,5E,010600 2,10600,399258,138079
11/4/2015 18:55,THEFT/OTHER,OTHERS,2300 - 2398 BLOCK OF 14TH STREET NW,3,1,1B,003700 3,3700,397236,139162
11/4/2015 18:30,THEFT/OTHER,OTHERS,700 - 770 BLOCK OF 5TH STREET NW,1,2,2C,005800 2,5800,398358,136759
11/3/2015 22:45,ASSAULT W/DANGEROUS WEAPON,OTHERS,1100 - 1199 BLOCK OF ALABAMA AVENUE SE,7,8,8E,007304 2,7304,400770,130713
11/5/2015 16:44,THEFT/OTHER,OTHERS,1350 - 1399 BLOCK OF POTOMAC AVENUE SE,1,6,6B,007100 2,7100,401147,134664
11/5/2015 16:18,THEFT/OTHER,OTHERS,4230 - 4299 BLOCK OF 4TH STREET SE,7,8,8D,009811 1,9811,400009,128664
11/5/2015 17:23,THEFT F/AUTO,OTHERS,500 - 699 BLOCK OF 9TH STREET SE,1,6,6B,007000 2,7000,400541,134906
10/16/2015 7:30,ASSAULT W/DANGEROUS WEAPON,GUN,3500 - 3899 BLOCK OF JAY STREET NE,6,7,7D,009602 1,9602,404579,137347
10/16/2015 0:30,THEFT F/AUTO,OTHERS,1700 - 1720 BLOCK OF 19TH STREET NW,2,2,2B,004202 2,4202,396233,138347
10/16/2015 11:06,THEFT F/AUTO,OTHERS,810 899  BLOCK OF 4TH STREET NW,1,6,6E,004702 1,4702,398596,136988
10/15/2015 20:00,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF L STREET NW,3,2,2F,010100 1,10100,397329,137320
10/16/2015 13:05,THEFT/OTHER,OTHERS,700  - 799 BLOCK OF TAYLOR STREET NW,4,4,4C,002400 4,2400,398055,141444
10/16/2015 11:57,ROBBERY,OTHERS,5700 - 5749 BLOCK OF CONNECTICUT AVENUE NW,2,3,3G,001100 1,1100,393374,144281
10/20/2015 17:30,THEFT F/AUTO,OTHERS,1600 - 1699 BLOCK OF MARYLAND AVENUE NE,5,5,5D,008904 2,8904,401740,137077
10/20/2015 19:29,ROBBERY,OTHERS,2400 - 2699 BLOCK OF POMEROY ROAD SE,7,8,8B,007406 2,7406,400891,131932
10/20/2015 7:00,BURGLARY,OTHERS,5300 - 5399 BLOCK OF AMES STREET NE,6,7,7C,007808 1,7808,406550,135883
10/20/2015 8:00,BURGLARY,OTHERS,5300  - 5399 BLOCK OF ILLINOIS AVENUE NW,4,4,4D,002101 4,2101,397706,142972
10/18/2015 14:00,MOTOR VEHICLE THEFT,OTHERS,3500 - 3599 BLOCK OF ALTON PLACE NW,2,3,3F,001200 3,1200,394072,142134
10/20/2015 19:49,THEFT/OTHER,OTHERS,3000 - 3049 BLOCK OF M STREET NW,2,2,2E,000100 4,100,394824,137485
10/20/2015 19:33,ROBBERY,OTHERS,2ND STREET NW AND FLORIDA AVENUE NW,5,5,5E,003400 2,3400,398778.41,138341.33
10/20/2015 20:39,MOTOR VEHICLE THEFT,OTHERS,600 - 699 BLOCK OF GIRARD STREET NW,3,1,1B,003400 2,3400,398080.31,139773.76
10/20/2015 15:57,THEFT/OTHER,OTHERS,1410  - 1599 BLOCK OF UNDERWOOD STREET NW,4,4,4A,001803 1,1803,396943,144569
10/20/2015 20:03,ASSAULT W/DANGEROUS WEAPON,GUN,1000 - 1389 BLOCK OF BARNABY TERRACE SE,7,8,8E,009700 1,9700,401064,129644
10/20/2015 19:45,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 13TH STREET NW,1,2,2C,005800 1,5800,397429.97,136542.97
10/20/2015 21:15,THEFT F/AUTO,OTHERS,6400  - 6489 BLOCK OF GEORGIA AVENUE NW,4,4,4A,001804 2,1804,397623,144463
10/20/2015 21:57,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF JAY STREET NE,6,7,7C,007807 2,7807,406656,137060
10/20/2015 22:30,ROBBERY,GUN,1600 - 1699 BLOCK OF KRAMER STREET NE,5,6,6A,007901 4,7901,401657.06,136664.81
10/20/2015 22:59,THEFT/OTHER,OTHERS,5100 - 5298 BLOCK OF FITCH STREET SE,6,7,7E,007707 1,7707,406235,134777
10/20/2015 21:20,ROBBERY,GUN,2300 2399  BLOCK OF PENNSYLVANIA AVENUE SE,6,7,7B,007601 1,7601,402423,134032
10/20/2015 23:36,THEFT/OTHER,OTHERS,3000 - 3099 BLOCK OF 14TH STREET NW,3,1,1A,002802 1,2802,397174,140033
10/20/2015 23:05,ASSAULT W/DANGEROUS WEAPON,OTHERS,2698 - 2701 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8C,010400 2,10400,400354,131430
10/20/2015 23:35,ASSAULT W/DANGEROUS WEAPON,OTHERS,1800 - 1853 BLOCK OF TUBMAN ROAD SE,7,8,8E,007404 1,7404,401848,131254
10/20/2015 23:59,ROBBERY,GUN,4200 - 4299 BLOCK OF CLAY STREET NE,6,7,7D,007803 4,7803,405126,136279
10/20/2015 11:00,BURGLARY,OTHERS,300 - 599 BLOCK OF PARKLAND PLACE SE,7,8,8C,010400 1,10400,400011,130764
10/21/2015 1:08,ROBBERY,GUN,500 - 699 BLOCK OF 8TH STREET SE,1,6,6B,007000 2,7000,400435,134906
10/17/2015 20:05,ASSAULT W/DANGEROUS WEAPON,GUN,GEORGIA AVENUE NW AND PEABODY STREET NW,4,4,4A,001901 2,1901,397582.95,143865.93
10/17/2015 21:26,ROBBERY,OTHERS,1200 - 1299 BLOCK OF 25TH STREET NW,2,2,2A,005500 2,5500,395377,137598
10/17/2015 21:13,ROBBERY,GUN,1400 - 1499 BLOCK OF CHANNING STREET NE,5,5,5C,009102 1,9102,401466,139542
10/17/2015 17:30,THEFT/OTHER,OTHERS,3600 - 3699 BLOCK OF O STREET NW,2,2,2E,000202 4,202,393843,137761
10/17/2015 21:50,ASSAULT W/DANGEROUS WEAPON,GUN,4000 - 4399 BLOCK OF 3RD STREET SE,7,8,8D,009810 1,9810,399819,128990
10/22/2015 13:00,ROBBERY,GUN,1700 - 1799 BLOCK OF VERMONT AVENUE NW,3,2,2F,005001 1,5001,397611.37,138370.26
10/22/2015 10:00,THEFT F/AUTO,OTHERS,1900 - 1921 BLOCK OF 3RD STREET NE,5,5,5E,008702 1,8702,399823,138672
10/22/2015 13:08,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF C STREET NE,1,6,6A,008100 2,8100,400489,136192
10/22/2015 6:00,THEFT F/AUTO,OTHERS,3800 - 3899 BLOCK OF YUMA STREET NW,2,3,3E,001200 4,1200,393427,142045
10/22/2015 12:00,THEFT F/AUTO,OTHERS,3800 - 3899 BLOCK OF YUMA STREET NW,2,3,3E,001200 4,1200,393427,142045
10/22/2015 8:32,THEFT/OTHER,OTHERS,SAYLES PLACE SE AND DOUGLAS PLACE SE,7,8,8C,007406 1,7406,400746.4778,132092.2894
10/22/2015 10:00,THEFT F/AUTO,OTHERS,5000 - 5099 BLOCK OF CONNECTICUT AVENUE NW,2,3,3F,001100 3,1100,393930,143053
10/22/2015 13:20,THEFT F/AUTO,OTHERS,1000 - 1099 BLOCK OF 4TH STREET NW,,6,6E,004701 2,4701,398597.05,137252.58
10/22/2015 11:00,THEFT F/AUTO,OTHERS,4700 - 4799 BLOCK OF 41ST STREET NW,2,3,3E,001100 4,1100,393038,142615
10/22/2015 11:30,THEFT F/AUTO,OTHERS,3800 - 3899 BLOCK OF WINDOM PLACE NW,2,3,3E,001200 4,1200,393427,141962
10/22/2015 14:22,THEFT/OTHER,OTHERS,IRVING STREET NE AND 12TH STREET NE,5,5,5B,009301 2,9301,400807.87,140078.91
10/22/2015 14:55,ROBBERY,OTHERS,1300 - 1399 BLOCK OF FAIRMONT STREET NW,3,1,1B,003600 2,3600,397313,139653
10/22/2015 15:15,THEFT/OTHER,OTHERS,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,2,3,3E,001001 1,1001,392607,143559
10/22/2015 15:15,THEFT/OTHER,OTHERS,3800  - 3899 BLOCK OF GEORGIA AVENUE NW,4,4,4C,002502 2,2502,397868,141140
10/22/2015 16:00,THEFT/OTHER,OTHERS,3200 - 3275 BLOCK OF M STREET NW,2,2,2E,000202 4,202,394449,137479
10/22/2015 8:30,THEFT F/AUTO,OTHERS,3800 - 3813 BLOCK OF BRANDYWINE STREET NW,2,3,3E,001200 1,1200,393501.18,142423.56
10/13/2015 23:00,THEFT/OTHER,OTHERS,1 - 99 BLOCK OF MASSACHUSETTS AVENUE NE,1,6,6C,006202 1,6202,399272,136594
10/22/2015 7:45,BURGLARY,OTHERS,100 - 139 BLOCK OF TODD PLACE NE,5,5,5E,008701 2,8701,399495,138712
10/22/2015 15:42,MOTOR VEHICLE THEFT,OTHERS,1600 - 1699 BLOCK OF 16TH STREET SE,6,8,8A,007601 5,7601,401542,133586
10/22/2015 16:10,THEFT/OTHER,OTHERS,1  - 45 BLOCK OF GALLATIN STREET NW,4,4,4D,002202 1,2202,399147,142720
10/22/2015 7:30,THEFT/OTHER,OTHERS,1800 1934  BLOCK OF GOOD HOPE ROAD SE,7,8,8A,007504 1,7504,401901,133068
10/22/2015 16:59,THEFT F/AUTO,OTHERS,1000 - 1099 BLOCK OF GIRARD STREET NW,3,1,1B,003500 1,3500,397708,139771
10/22/2015 17:06,THEFT/OTHER,OTHERS,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,2,3,3C,001302 2,1302,394964.33,140772.69
10/22/2015 6:00,THEFT/OTHER,OTHERS,2300 - 2399 BLOCK OF 18TH STREET NW,3,1,1C,004002 1,4002,396370,139140
10/27/2015 0:01,THEFT F/AUTO,OTHERS,SUITLAND ROAD SE AND SOUTHERN AVENUE SE,6,7,7B,007603 1,7603,404346.7,132608.11
11/3/2015 16:19,ASSAULT W/DANGEROUS WEAPON,OTHERS,500 - 599 BLOCK OF INDIANA AVENUE NW,1,2,2C,005900 1,5900,398319,136303
11/3/2015 7:00,BURGLARY,OTHERS,3634 - 3745 BLOCK OF CAMDEN STREET SE,6,7,7B,007603 3,7603,404088,132502
11/3/2015 16:35,THEFT/OTHER,OTHERS,3100 - 3119 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,8,8C,010400 1,10400,400086,130650
11/2/2015 11:00,THEFT/OTHER,OTHERS,800  - 899 BLOCK OF TEWKESBURY PLACE NW,4,4,4B,001901 4,1901,397825,144446
11/3/2015 19:17,THEFT/OTHER,OTHERS,226 - 299 BLOCK OF 11TH STREET NE,1,6,6A,008100 2,8100,400734,136149
11/3/2015 19:31,THEFT/OTHER,OTHERS,1200 - 1237 BLOCK OF WISCONSIN AVENUE NW,2,2,2E,000202 3,202,394550,137528
11/3/2015 19:59,THEFT/OTHER,OTHERS,1600 - 1617 BLOCK OF 14TH STREET NW,3,2,2F,005201 4,5201,397228,138182
11/3/2015 16:30,ROBBERY,GUN,1ST STREET SE AND M STREET SE,1,6,6D,007200 2,7200,399490.4186,134294.6112
11/3/2015 17:45,THEFT/OTHER,OTHERS,2000 - 2029 BLOCK OF S STREET NW,2,2,2B,004202 2,4202,396058,138470
11/3/2015 21:00,THEFT/OTHER,OTHERS,400 - 499 BLOCK OF 14TH STREET SE,1,6,6B,006900 2,6900,401257,135070
11/3/2015 20:37,ROBBERY,OTHERS,400 - 499 BLOCK OF M STREET NW,3,6,6E,004802 1,4802,398477,137531
11/3/2015 20:45,BURGLARY,OTHERS,1300 - 1348 BLOCK OF NEW HAMPSHIRE AVENUE NW,2,2,2B,005500 5,5500,396070,137755
11/3/2015 21:50,THEFT/OTHER,OTHERS,1909 - 1999 BLOCK OF 14TH STREET SE,7,8,8A,007503 1,7503,401280,133168
11/3/2015 14:14,ASSAULT W/DANGEROUS WEAPON,KNIFE,400 - 499 BLOCK OF PARK ROAD NW,4,1,1A,003200 2,3200,398299.96,140521.45
11/3/2015 21:40,THEFT F/AUTO,OTHERS,2700 - 2799 BLOCK OF 28TH STREET NE,5,5,5C,011100 1,11100,402769,139685
11/3/2015 21:58,ASSAULT W/DANGEROUS WEAPON,KNIFE,2800 - 2829 BLOCK OF Q STREET SE,6,7,7B,007604 3,7604,402840,133658
11/3/2015 22:56,ROBBERY,GUN,6000 - 6099 BLOCK OF CLAY STREET NE,6,7,7C,007808 2,7808,407430,136119
11/3/2015 20:00,ASSAULT W/DANGEROUS WEAPON,KNIFE,1400 - 1499 BLOCK OF PARK ROAD NW,3,1,1A,002802 2,2802,397068.32,140306.49
11/15/2015 19:40,THEFT F/AUTO,OTHERS,3900 - 3919 BLOCK OF BENNING ROAD NE,6,7,7F,009603 2,9603,404459,136336
11/15/2015 19:59,THEFT/OTHER,OTHERS,3400 - 3499 BLOCK OF GEORGIA AVENUE NW,3,1,1A,003100 1,3100,397943,140505
11/8/2015 0:54,THEFT/OTHER,OTHERS,900 - 931 BLOCK OF U STREET NW,3,1,1B,004400 2,4400,397863,138792
10/3/2015 22:18,THEFT/OTHER,OTHERS,900 - 931 BLOCK OF U STREET NW,3,1,1B,004400 2,4400,397863,138792
11/15/2015 19:05,THEFT/OTHER,OTHERS,1900 - 1926 BLOCK OF 16TH STREET NW,3,2,2B,004201 1,4201,396834,138674
11/15/2015 20:51,ROBBERY,OTHERS,3300 - 3328 BLOCK OF 17TH STREET NW,4,1,1D,002701 2,2701,396636.23,140570.36
11/15/2015 21:00,ROBBERY,OTHERS,1900 - 1999 BLOCK OF NEW HAMPSHIRE AVENUE NW,3,2,2B,004201 1,4201,396773,138715
11/8/2015 22:51,THEFT F/AUTO,OTHERS,700  - 799 BLOCK OF DAHLIA STREET NW,,4,4B,010300 3,10300,397946,145320
11/15/2015 22:36,ROBBERY,GUN,812 - 899 BLOCK OF BLADENSBURG ROAD NE,5,5,5D,008802 2,8802,401508,137047
11/15/2015 14:00,THEFT/OTHER,OTHERS,1800 - 1899 BLOCK OF 7TH STREET NW,3,1,1B,004400 2,4400,398099,138551
11/16/2015 0:14,THEFT/OTHER,OTHERS,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,7,7D,007803 1,7803,405127,137046
11/16/2015 0:35,ROBBERY,GUN,1200 - 1299 BLOCK OF 47TH PLACE NE,6,7,7C,007806 2,7806,405658,137644
11/15/2015 21:00,MOTOR VEHICLE THEFT,OTHERS,800  - 899 BLOCK OF CRITTENDEN STREET NW,4,4,4D,002201 2,2201,397879,142151
11/16/2015 3:10,THEFT/OTHER,OTHERS,900 - 913 BLOCK OF FLORIDA AVENUE NW,3,1,1B,004400 1,4400,397900,138911
11/15/2015 11:30,THEFT F/AUTO,OTHERS,1200 - 1221 BLOCK OF 17TH STREET NW,2,2,2B,010700 2,10700,396660,137583
11/16/2015 6:45,ASSAULT W/DANGEROUS WEAPON,KNIFE,1300 - 1399 BLOCK OF 1ST STREET SW,1,6,6D,006400 1,6400,398943,133997
11/13/2015 20:00,THEFT F/AUTO,OTHERS,1ST STREET NE AND Q STREET NE,5,5,5E,008701 1,8701,399432.08,138139.38
11/16/2015 8:00,BURGLARY,OTHERS,5423 - 5599 BLOCK OF BLAINE STREET NE,6,7,7C,007808 3,7808,406741,135941
10/30/2015 23:19,ASSAULT W/DANGEROUS WEAPON,GUN,4600 - 4699 BLOCK OF HILLSIDE ROAD SE,6,7,7E,007707 1,7707,405846,134296
10/30/2015 23:10,ROBBERY,GUN,4400 - 4499 BLOCK OF CONNECTICUT AVENUE NW,2,3,3F,001200 3,1200,394335,142159
10/30/2015 23:50,ROBBERY,KNIFE,3100 - 3299 BLOCK OF 14TH STREET NW,3,1,1A,003000 1,3000,397162,140182
10/30/2015 23:48,ASSAULT W/DANGEROUS WEAPON,KNIFE,4900 - 4999 BLOCK OF B STREET SE,6,7,7E,009904 1,9904,405941,135443
10/31/2015 1:50,THEFT/OTHER,OTHERS,3000 - 3133 BLOCK OF RHODE ISLAND AVENUE NE,5,5,5C,011100 2,11100,403053,140739
10/30/2015 22:01,MOTOR VEHICLE THEFT,OTHERS,5400  - 5499 BLOCK OF 30TH PLACE NW,2,4,3G,001402 1,1402,394700,143799
10/31/2015 2:45,THEFT/OTHER,OTHERS,5401  - 5499 BLOCK OF GEORGIA AVENUE NW,4,4,4C,002002 3,2002,397576,143086
10/30/2015 23:00,THEFT F/AUTO,OTHERS,2700 - 2733 BLOCK OF CENTRAL AVENUE NE,5,5,5C,011100 1,11100,403177,139968
11/1/2015 0:00,HOMICIDE,GUN,1000 - 1099 BLOCK OF SAVANNAH STREET SE,7,8,8C,007304 3,7304,400712,130541
10/31/2015 0:00,HOMICIDE,OTHERS,1600 - 1779 BLOCK OF NEW YORK AVENUE NE,5,5,5D,008803 1,8803,401728,138813
10/21/2015 2:25,BURGLARY,OTHERS,1 - 99 BLOCK OF 16TH STREET SE,1,6,6B,006801 2,6801,401542,135710
10/25/2015 18:40,ROBBERY,OTHERS,200 - 299 BLOCK OF RHODE ISLAND AVENUE NW,5,1,1B,003400 2,3400,398698,138541
10/24/2015 21:30,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF 18TH STREET NE,5,5,5D,008903 1,8903,401904,137607
10/25/2015 15:00,THEFT/OTHER,OTHERS,300 - 399 BLOCK OF PENNSYLVANIA AVENUE SE,1,6,6B,006500 1,6500,399886,135436
10/22/2015 17:32,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF V STREET NW,3,1,1B,004400 1,4400,397497,138916
10/25/2015 19:20,THEFT/OTHER,OTHERS,5000 - 5099 BLOCK OF C STREET SE,6,7,7E,009904 2,9904,406114,135259
10/25/2015 15:01,THEFT/OTHER,OTHERS,700 - 799 BLOCK OF HAMLIN STREET NE,5,5,5E,009201 1,9201,400384,139949
10/25/2015 20:17,MOTOR VEHICLE THEFT,OTHERS,1800 - 1822 BLOCK OF 3RD STREET NE,5,5,5E,008702 2,8702,399823,138509
10/25/2015 20:21,THEFT/OTHER,OTHERS,900 - 999 BLOCK OF BLADENSBURG ROAD NE,5,5,5D,008802 2,8802,401560,137150
10/25/2015 19:05,ASSAULT W/DANGEROUS WEAPON,GUN,4200  - 4299 BLOCK OF 2ND STREET NW,4,4,4C,002301 2,2301,398800,141650
10/25/2015 20:24,THEFT/OTHER,OTHERS,3279 3499  BLOCK OF FORT LINCOLN DRIVE NE,5,5,5C,009000 1,9000,403763,139365
10/25/2015 20:40,THEFT/OTHER,OTHERS,4400 4499  BLOCK OF BENNING ROAD NE,6,7,7D,009603 1,9603,405327,135921
10/25/2015 20:00,THEFT/OTHER,OTHERS,1900 1979  BLOCK OF 37TH STREET NW,2,2,2E,000300 3,300,393683,138678
10/25/2015 20:55,ROBBERY,GUN,1200 - 1227 BLOCK OF 5TH STREET NE,1,6,6C,010600 2,10600,400043,137591
10/25/2015 16:58,THEFT F/AUTO,OTHERS,1800 - 1815 BLOCK OF ERIE STREET SE,7,8,8B,007407 1,7407,401864,132165
10/22/2015 19:00,THEFT/OTHER,OTHERS,1721 - 1799 BLOCK OF 14TH STREET NW,3,2,2F,005201 4,5201,397228,138428
10/24/2015 11:47,THEFT/OTHER,OTHERS,1000 - 1099 BLOCK OF 7TH STREET NE,1,6,6C,010600 3,10600,400332,137251
10/25/2015 16:30,MOTOR VEHICLE THEFT,OTHERS,3700 3851  BLOCK OF 9TH STREET SE,7,8,8E,009801 1,9801,400504.02,129677.18
10/25/2015 20:00,SEX ABUSE,OTHERS,2300 - 2399 BLOCK OF GOOD HOPE ROAD SE,7,8,8B,007504 1,7504,402258,132857
10/26/2015 1:40,THEFT F/AUTO,OTHERS,2855 3200  BLOCK OF BLADENSBURG ROAD NE,5,5,5C,011100 1,11100,403459,140142
10/26/2015 1:36,MOTOR VEHICLE THEFT,OTHERS,3600 - 3699 BLOCK OF 14TH STREET NW,4,1,1A,002801 2,2801,397162,140976
10/26/2015 3:46,THEFT F/AUTO,OTHERS,2200 - 2299 BLOCK OF 25TH PLACE NE,5,5,5C,011100 1,11100,402521,139240
10/25/2015 23:00,THEFT/OTHER,OTHERS,620 - 699 BLOCK OF T STREET NW,3,1,1B,004801 1,4801,398144,138633
10/26/2015 3:47,BURGLARY,OTHERS,1000 - 1199 BLOCK OF LAWRENCE STREET NE,5,5,5B,009301 2,9301,400716,140403
